Bark,Lower,Mid,Upper,Bandwidth
1,0,50,100,100
2,100,150,200,100
3,200,250,300,100
4,300,350,400,100
5,400,450,510,110
6,510,570,630,120
7,630,700,770,140
8,770,840,920,150
9,920,1000,1080,160
10,1080,1170,1270,190
11,1270,1370,1480,210
12,1480,1600,1720,240
13,1720,1850,2000,280
14,2000,2150,2320,320
15,2320,2500,2700,380
16,2700,2900,3150,450
17,3150,3400,3700,550
18,3700,4000,4400,700
19,4400,4800,5300,900
20,5300,5800,6400,1100
21,6400,7000,7700,1300
22,7700,8500,9500,1800
23,9500,10500,12000,2500
24,12000,13500,15500,3500
